COUNTDUMS,halfyear,f0UNEMP,f1UNEMP,f2UNEMP,f3UNEMP,f4UNEMP,f5UNEMP,f6UNEMP,f7UNEMP,f8UNEMP,f9UNEMP,f10UNEMP,CRISIS,l1UNEMP,l2UNEMP,l3UNEMP,l4UNEMP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
3,71,9.6,9.800000000000000,9.66666666667,9.23333333333,9.13333333333,9.33333333333,9.433333333330000,9.13333333333,8.86666666667,7.76666666667,6.86666666667,0,9.73333333333,9.800000000000000,9.33333333333,8.36666666667,0,0,0,0
3,72,9.800000000000000,9.66666666667,9.23333333333,9.13333333333,9.33333333333,9.433333333330000,9.13333333333,8.86666666667,7.76666666667,6.86666666667,6.63333333333,0,9.6,9.73333333333,9.800000000000000,9.33333333333,0,0,0,0
3,73,9.66666666667,9.23333333333,9.13333333333,9.33333333333,9.433333333330000,9.13333333333,8.86666666667,7.76666666667,6.86666666667,6.63333333333,6.56666666667,0,9.800000000000000,9.6,9.73333333333,9.800000000000000,0,0,0,0
3,74,9.23333333333,9.13333333333,9.33333333333,9.433333333330000,9.13333333333,8.86666666667,7.76666666667,6.86666666667,6.63333333333,6.56666666667,7.36666666667,0,9.66666666667,9.800000000000000,9.6,9.73333333333,0,0,0,0
3,75,9.13333333333,9.33333333333,9.433333333330000,9.13333333333,8.86666666667,7.76666666667,6.86666666667,6.63333333333,6.56666666667,7.36666666667,7.3,0,9.23333333333,9.66666666667,9.800000000000000,9.6,0,0,0,0
3,76,9.33333333333,9.433333333330000,9.13333333333,8.86666666667,7.76666666667,6.86666666667,6.63333333333,6.56666666667,7.36666666667,7.3,7.96666666667,0,9.13333333333,9.23333333333,9.66666666667,9.800000000000000,0,0,0,0
3,77,9.433333333330000,9.13333333333,8.86666666667,7.76666666667,6.86666666667,6.63333333333,6.56666666667,7.36666666667,7.3,7.96666666667,8.1,0,9.33333333333,9.13333333333,9.23333333333,9.66666666667,0,0,0,0
3,78,9.13333333333,8.86666666667,7.76666666667,6.86666666667,6.63333333333,6.56666666667,7.36666666667,7.3,7.96666666667,8.1,8.36666666667,0,9.433333333330000,9.33333333333,9.13333333333,9.23333333333,0,0,0,0
3,79,8.86666666667,7.76666666667,6.86666666667,6.63333333333,6.56666666667,7.36666666667,7.3,7.96666666667,8.1,8.36666666667,7.83333333333,0,9.13333333333,9.433333333330000,9.33333333333,9.13333333333,0,0,0,0
3,80,7.76666666667,6.86666666667,6.63333333333,6.56666666667,7.36666666667,7.3,7.96666666667,8.1,8.36666666667,7.83333333333,8.300000000000000,0,8.86666666667,9.13333333333,9.433333333330000,9.33333333333,0,0,0,0
3,81,6.86666666667,6.63333333333,6.56666666667,7.36666666667,7.3,7.96666666667,8.1,8.36666666667,7.83333333333,8.300000000000000,8.5,0,7.76666666667,8.86666666667,9.13333333333,9.433333333330000,0,0,0,0
3,82,6.63333333333,6.56666666667,7.36666666667,7.3,7.96666666667,8.1,8.36666666667,7.83333333333,8.300000000000000,8.5,8.433333333330000,0,6.86666666667,7.76666666667,8.86666666667,9.13333333333,0,0,0,0
3,83,6.56666666667,7.36666666667,7.3,7.96666666667,8.1,8.36666666667,7.83333333333,8.300000000000000,8.5,8.433333333330000,8.66666666667,0,6.63333333333,6.86666666667,7.76666666667,8.86666666667,0,0,0,0
3,84,7.36666666667,7.3,7.96666666667,8.1,8.36666666667,7.83333333333,8.300000000000000,8.5,8.433333333330000,8.66666666667,7.86666666667,0,6.56666666667,6.63333333333,6.86666666667,7.76666666667,0,0,0,0
3,85,7.3,7.96666666667,8.1,8.36666666667,7.83333333333,8.300000000000000,8.5,8.433333333330000,8.66666666667,7.86666666667,8.033333333330000,0,7.36666666667,6.56666666667,6.63333333333,6.86666666667,0,0,0,0
3,86,7.96666666667,8.1,8.36666666667,7.83333333333,8.300000000000000,8.5,8.433333333330000,8.66666666667,7.86666666667,8.033333333330000,7.03333333333,0,7.3,7.36666666667,6.56666666667,6.63333333333,0,0,0,0
3,87,8.1,8.36666666667,7.83333333333,8.300000000000000,8.5,8.433333333330000,8.66666666667,7.86666666667,8.033333333330000,7.03333333333,6.66666666667,0,7.96666666667,7.3,7.36666666667,6.56666666667,0,0,0,0
3,88,8.36666666667,7.83333333333,8.300000000000000,8.5,8.433333333330000,8.66666666667,7.86666666667,8.033333333330000,7.03333333333,6.66666666667,6.83333333333,0,8.1,7.96666666667,7.3,7.36666666667,0,0,0,0
3,89,7.83333333333,8.300000000000000,8.5,8.433333333330000,8.66666666667,7.86666666667,8.033333333330000,7.03333333333,6.66666666667,6.83333333333,7.86666666667,0,8.36666666667,8.1,7.96666666667,7.3,0,0,0,0
3,90,8.300000000000000,8.5,8.433333333330000,8.66666666667,7.86666666667,8.033333333330000,7.03333333333,6.66666666667,6.83333333333,7.86666666667,8.066666666670000,0,7.83333333333,8.36666666667,8.1,7.96666666667,0,0,0,0
3,91,8.5,8.433333333330000,8.66666666667,7.86666666667,8.033333333330000,7.03333333333,6.66666666667,6.83333333333,7.86666666667,8.066666666670000,8.466666666670000,0,8.300000000000000,7.83333333333,8.36666666667,8.1,0,0,0,0
3,92,8.433333333330000,8.66666666667,7.86666666667,8.033333333330000,7.03333333333,6.66666666667,6.83333333333,7.86666666667,8.066666666670000,8.466666666670000,7.8,0,8.5,8.300000000000000,7.83333333333,8.36666666667,0,0,0,0
3,93,8.66666666667,7.86666666667,8.033333333330000,7.03333333333,6.66666666667,6.83333333333,7.86666666667,8.066666666670000,8.466666666670000,7.8,6.96666666667,0,8.433333333330000,8.5,8.300000000000000,7.83333333333,0,0,0,0
3,94,7.86666666667,8.033333333330000,7.03333333333,6.66666666667,6.83333333333,7.86666666667,8.066666666670000,8.466666666670000,7.8,6.96666666667,7.03333333333,0,8.66666666667,8.433333333330000,8.5,8.300000000000000,0,0,0,0
3,95,8.033333333330000,7.03333333333,6.66666666667,6.83333333333,7.86666666667,8.066666666670000,8.466666666670000,7.8,6.96666666667,7.03333333333,7.33333333333,0,7.86666666667,8.66666666667,8.433333333330000,8.5,0,0,0,0
3,96,7.03333333333,6.66666666667,6.83333333333,7.86666666667,8.066666666670000,8.466666666670000,7.8,6.96666666667,7.03333333333,7.33333333333,8.23333333333,0,8.033333333330000,7.86666666667,8.66666666667,8.433333333330000,0,0,0,0
