CountryCode,year,F1y,F2y,F3y,F4y,F5y,F6y,F7y,F8y,F9y,F10y,L0HHD_L1GDP,L0NFD_L1GDP,L1HHD_L1GDP,L2HHD_L1GDP,L3HHD_L1GDP,L4HHD_L1GDP,L1NFD_L1GDP,L2NFD_L1GDP,L3NFD_L1GDP,L4NFD_L1GDP,L0y,L1y,L2y,L3y,L4y
40,2010,2631.7979,2632.9067,,,,,,,,,58.008335,97.733696,53.89682,55.436131,56.011581,56.76857,87.610954,92.349632,91.087257,83.401222,2629.1611,2627.2344,2631.0515,2629.9216,2626.0601
40,2011,2632.9067,,,,,,,,,,57.430176,101.23719,58.008335,53.89682,55.436131,56.011581,97.733696,87.610954,92.349632,91.087257,2631.7979,2629.1611,2627.2344,2631.0515,2629.9216
40,2012,,,,,,,,,,,54.991974,97.540131,57.430176,58.008335,53.89682,55.436131,101.23719,97.733696,87.610954,92.349632,2632.9067,2631.7979,2629.1611,2627.2344,2631.0515
56,1976,,,,,,,,,,,,,,,,,,,,,2584.126,,,,
56,1977,,,,,,,,,,,,,,,,,,,,,2584.7229,,,,
56,1978,,,,,,,,,,,,,,,,,,,,,2587.0759,,,,
56,1979,,,,,,,,,,,,,,,,,,,,,2589.9417,,,,
56,1980,2593.8203,2594.3623,2594.9014,2597.0288,2598.5957,2600.647,2602.6572,2607.5125,2610.7761,2613.9365,33.223953,48.774849,,,,,,,,,2593.8203,2589.9417,2587.0759,2584.7229,2584.126
56,1981,2594.3623,2594.9014,2597.0288,2598.5957,2600.647,2602.6572,2607.5125,2610.7761,2613.9365,2615.6987,31.640968,50.098019,33.223953,,,,48.774849,,,,2593.8203,2593.8203,2589.9417,2587.0759,2584.7229
56,1982,2594.9014,2597.0288,2598.5957,2600.647,2602.6572,2607.5125,2610.7761,2613.9365,2615.6987,2617.4304,32.013657,50.953781,31.640968,33.223953,,,50.098019,48.774849,,,2594.3623,2593.8203,2593.8203,2589.9417,2587.0759
56,1983,2597.0288,2598.5957,2600.647,2602.6572,2607.5125,2610.7761,2613.9365,2615.6987,2617.4304,2616.1345,30.376699,49.092232,32.013657,31.640968,33.223953,,50.953781,50.098019,48.774849,,2594.9014,2594.3623,2593.8203,2593.8203,2589.9417
56,1984,2598.5957,2600.647,2602.6572,2607.5125,2610.7761,2613.9365,2615.6987,2617.4304,2616.1345,2619.5535,29.648624,47.890827,30.376699,32.013657,31.640968,33.223953,49.092232,50.953781,50.098019,48.774849,2597.0288,2594.9014,2594.3623,2593.8203,2593.8203
56,1985,2600.647,2602.6572,2607.5125,2610.7761,2613.9365,2615.6987,2617.4304,2616.1345,2619.5535,2622.0435,28.684746,44.716949,29.648624,30.376699,32.013657,31.640968,47.890827,49.092232,50.953781,50.098019,2598.5957,2597.0288,2594.9014,2594.3623,2593.8203
56,1986,2602.6572,2607.5125,2610.7761,2613.9365,2615.6987,2617.4304,2616.1345,2619.5535,2622.0435,2623.2654,29.123199,42.554401,28.684746,29.648624,30.376699,32.013657,44.716949,47.890827,49.092232,50.953781,2600.647,2598.5957,2597.0288,2594.9014,2594.3623
56,1987,2607.5125,2610.7761,2613.9365,2615.6987,2617.4304,2616.1345,2619.5535,2622.0435,2623.2654,2626.8445,30.645039,42.26107,29.123199,28.684746,29.648624,30.376699,42.554401,44.716949,47.890827,49.092232,2602.6572,2600.647,2598.5957,2597.0288,2594.9014
56,1988,2610.7761,2613.9365,2615.6987,2617.4304,2616.1345,2619.5535,2622.0435,2623.2654,2626.8445,2628.7786,32.844524,45.278831,30.645039,29.123199,28.684746,29.648624,42.26107,42.554401,44.716949,47.890827,2607.5125,2602.6572,2600.647,2598.5957,2597.0288
56,1989,2613.9365,2615.6987,2617.4304,2616.1345,2619.5535,2622.0435,2623.2654,2626.8445,2628.7786,2632.1687,35.264385,49.691097,32.844524,30.645039,29.123199,28.684746,45.278831,42.26107,42.554401,44.716949,2610.7761,2607.5125,2602.6572,2600.647,2598.5957
56,1990,2615.6987,2617.4304,2616.1345,2619.5535,2622.0435,2623.2654,2626.8445,2628.7786,2632.1687,2635.8054,35.535442,48.62405,35.264385,32.844524,30.645039,29.123199,49.691097,45.278831,42.26107,42.554401,2613.9365,2610.7761,2607.5125,2602.6572,2600.647
56,1991,2617.4304,2616.1345,2619.5535,2622.0435,2623.2654,2626.8445,2628.7786,2632.1687,2635.8054,2636.8713,35.763096,49.991665,35.535442,35.264385,32.844524,30.645039,48.62405,49.691097,45.278831,42.26107,2615.6987,2613.9365,2610.7761,2607.5125,2602.6572
56,1992,2616.1345,2619.5535,2622.0435,2623.2654,2626.8445,2628.7786,2632.1687,2635.8054,2636.8713,2637.9258,38.047157,63.502842,35.763096,35.535442,35.264385,32.844524,49.991665,48.62405,49.691097,45.278831,2617.4304,2615.6987,2613.9365,2610.7761,2607.5125
56,1993,2619.5535,2622.0435,2623.2654,2626.8445,2628.7786,2632.1687,2635.8054,2636.8713,2637.9258,2638.9692,37.362701,65.782166,38.047157,35.763096,35.535442,35.264385,63.502842,49.991665,48.62405,49.691097,2616.1345,2617.4304,2615.6987,2613.9365,2610.7761
56,1994,2622.0435,2623.2654,2626.8445,2628.7786,2632.1687,2635.8054,2636.8713,2637.9258,2638.9692,2642.0359,38.016315,68.353683,37.362701,38.047157,35.763096,35.535442,65.782166,63.502842,49.991665,48.62405,2619.5535,2616.1345,2617.4304,2615.6987,2613.9365
56,1995,2623.2654,2626.8445,2628.7786,2632.1687,2635.8054,2636.8713,2637.9258,2638.9692,2642.0359,2643.7,37.381592,69.141296,38.016315,37.362701,38.047157,35.763096,68.353683,65.782166,63.502842,49.991665,2622.0435,2619.5535,2616.1345,2617.4304,2615.6987
56,1996,2626.8445,2628.7786,2632.1687,2635.8054,2636.8713,2637.9258,2638.9692,2642.0359,2643.7,2646.627,38.135578,70.932693,37.381592,38.016315,37.362701,38.047157,69.141296,68.353683,65.782166,63.502842,2623.2654,2622.0435,2619.5535,2616.1345,2617.4304
56,1997,2628.7786,2632.1687,2635.8054,2636.8713,2637.9258,2638.9692,2642.0359,2643.7,2646.627,2649.4707,39.979717,81.661324,38.135578,37.381592,38.016315,37.362701,70.932693,69.141296,68.353683,65.782166,2626.8445,2623.2654,2622.0435,2619.5535,2616.1345
56,1998,2632.1687,2635.8054,2636.8713,2637.9258,2638.9692,2642.0359,2643.7,2646.627,2649.4707,2650.4009,41.615837,86.996834,39.979717,38.135578,37.381592,38.016315,81.661324,70.932693,69.141296,68.353683,2628.7786,2626.8445,2623.2654,2622.0435,2619.5535
56,1999,2635.8054,2636.8713,2637.9258,2638.9692,2642.0359,2643.7,2646.627,2649.4707,2650.4009,2647.5837,42.030869,99.825653,41.615837,39.979717,38.135578,37.381592,86.996834,81.661324,70.932693,69.141296,2632.1687,2628.7786,2626.8445,2623.2654,2622.0435
56,2000,2636.8713,2637.9258,2638.9692,2642.0359,2643.7,2646.627,2649.4707,2650.4009,2647.5837,2649.7817,41.441422,113.81297,42.030869,41.615837,39.979717,38.135578,99.825653,86.996834,81.661324,70.932693,2635.8054,2632.1687,2628.7786,2626.8445,2623.2654
56,2001,2637.9258,2638.9692,2642.0359,2643.7,2646.627,2649.4707,2650.4009,2647.5837,2649.7817,2651.6279,39.873913,119.95454,41.441422,42.030869,41.615837,39.979717,113.81297,99.825653,86.996834,81.661324,2636.8713,2635.8054,2632.1687,2628.7786,2626.8445
56,2002,2638.9692,2642.0359,2643.7,2646.627,2649.4707,2650.4009,2647.5837,2649.7817,2651.6279,2651.3225,40.516922,116.14846,39.873913,41.441422,42.030869,41.615837,119.95454,113.81297,99.825653,86.996834,2637.9258,2636.8713,2635.8054,2632.1687,2628.7786
56,2003,2642.0359,2643.7,2646.627,2649.4707,2650.4009,2647.5837,2649.7817,2651.6279,2651.3225,,40.76989,122.11822,40.516922,39.873913,41.441422,42.030869,116.14846,119.95454,113.81297,99.825653,2638.9692,2637.9258,2636.8713,2635.8054,2632.1687
56,2004,2643.7,2646.627,2649.4707,2650.4009,2647.5837,2649.7817,2651.6279,2651.3225,,,42.77319,127.6279,40.76989,40.516922,39.873913,41.441422,122.11822,116.14846,119.95454,113.81297,2642.0359,2638.9692,2637.9258,2636.8713,2635.8054
56,2005,2646.627,2649.4707,2650.4009,2647.5837,2649.7817,2651.6279,2651.3225,,,,45.073883,125.78488,42.77319,40.76989,40.516922,39.873913,127.6279,122.11822,116.14846,119.95454,2643.7,2642.0359,2638.9692,2637.9258,2636.8713
56,2006,2649.4707,2650.4009,2647.5837,2649.7817,2651.6279,2651.3225,,,,,47.877888,122.69142,45.073883,42.77319,40.76989,40.516922,125.78488,127.6279,122.11822,116.14846,2646.627,2643.7,2642.0359,2638.9692,2637.9258
56,2007,2650.4009,2647.5837,2649.7817,2651.6279,2651.3225,,,,,,49.786835,131.7467,47.877888,45.073883,42.77319,40.76989,122.69142,125.78488,127.6279,122.11822,2649.4707,2646.627,2643.7,2642.0359,2638.9692
56,2008,2647.5837,2649.7817,2651.6279,2651.3225,,,,,,,51.354465,152.18781,49.786835,47.877888,45.073883,42.77319,131.7467,122.69142,125.78488,127.6279,2650.4009,2649.4707,2646.627,2643.7,2642.0359
56,2009,2649.7817,2651.6279,2651.3225,,,,,,,,51.406937,149.0266,51.354465,49.786835,47.877888,45.073883,152.18781,131.7467,122.69142,125.78488,2647.5837,2650.4009,2649.4707,2646.627,2643.7
56,2010,2651.6279,2651.3225,,,,,,,,,55.62962,145.70792,51.406937,51.354465,49.786835,47.877888,149.0266,152.18781,131.7467,122.69142,2649.7817,2647.5837,2650.4009,2649.4707,2646.627
56,2011,2651.3225,,,,,,,,,,57.683708,152.74185,55.62962,51.406937,51.354465,49.786835,145.70792,149.0266,152.18781,131.7467,2651.6279,2649.7817,2647.5837,2650.4009,2649.4707
56,2012,,,,,,,,,,,57.988346,146.45149,57.683708,55.62962,51.406937,51.354465,152.74185,145.70792,149.0266,152.18781,2651.3225,2651.6279,2649.7817,2647.5837,2650.4009
124,1965,,,,,,,,,,,,,,,,,,,,,2663.9468,,,,
124,1966,,,,,,,,,,,,,,,,,,,,,2670.468,,,,
124,1967,,,,,,,,,,,,,,,,,,,,,2673.2078,,,,
124,1968,,,,,,,,,,,,,,,,,,,,,2678.4724,,,,
124,1969,2686.0991,2690.1211,2695.3748,2702.2214,2705.832,2707.5896,2712.6841,2716.1018,2719.8699,2723.6497,37.817585,62.228348,,,,,,,,,2683.4734,2678.4724,2673.2078,2670.468,2663.9468
124,1970,2690.1211,2695.3748,2702.2214,2705.832,2707.5896,2712.6841,2716.1018,2719.8699,2723.6497,2725.8506,37.429081,59.780693,37.817585,,,,62.228348,,,,2686.0991,2683.4734,2678.4724,2673.2078,2670.468
124,1971,2695.3748,2702.2214,2705.832,2707.5896,2712.6841,2716.1018,2719.8699,2723.6497,2725.8506,2729.2747,40.026608,62.702881,37.429081,37.817585,,,59.780693,62.228348,,,2690.1211,2686.0991,2683.4734,2678.4724,2673.2078
