cnty,obs,GRRT_WB,CRISIS
_ATG,1987,8.26317576665924,0
_ATG,1988,5.42180402336146,0
_ATG,1989,5.77288069516686,0
_ATG,1990,2.54510184287101,0
_ATG,1991,2.03643448980363,0
_ATG,1992,.848188214355233,0
_ATG,1993,5.39010221339803,1
_ATG,1994,6.32762349986045,0
_ATG,1995,-4.17681751441626,0
_ATG,1996,6.74744861643227,1
_ATG,1997,4.96604318598153,0
_ATG,1998,4.55596402173727,0
_ATG,1999,3.956342517715,0
_ATG,2000,2.50000000000054,0
_ATG,2001,.199999999999818,0
_AUS,1960,,
_AUS,1961,1.67238741842668,0
_AUS,1962,6.41801692016976,0
_AUS,1963,7.09714429919439,0
_AUS,1964,7.12050801553133,0
_AUS,1965,1.92044432125303,1
_AUS,1966,6.58826064113272,0
_AUS,1967,3.82182223607599,1
_AUS,1968,8.725703548386701,0
_AUS,1969,5.40237213479095,1
_AUS,1970,4.63521863365773,0
_AUS,1971,3.84631271085343,0
_AUS,1972,3.4516053496241,0
_AUS,1973,5.14886813569954,0
_AUS,1974,1.05278980099186,1
_AUS,1975,2.68632068059644,1
_AUS,1976,3.21136096850279,0
_AUS,1977,.780198272311324,1
_AUS,1978,5.51478768923088,0
_AUS,1979,2.44234908247141,1
_AUS,1980,3.19890912928737,0
_AUS,1981,3.11321594060423,0
_AUS,1982,-2.61636536104964,0
_AUS,1983,5.31413432010263,0
_AUS,1984,5.06234054406616,1
_AUS,1985,4.21205522327087,1
_AUS,1986,2.51856880061365,0
_AUS,1987,5.36041435692942,0
_AUS,1988,4.0428029220772,0
_AUS,1989,3.72941853462075,0
_AUS,1990,-.0900481890577819,0
_AUS,1991,.266849082624972,0
_AUS,1992,3.66187325862384,1
_AUS,1993,3.88919102007787,0
_AUS,1994,4.17097652965329,0
_AUS,1995,4.21502241358287,0
_AUS,1996,3.67616553421517,0
_AUS,1997,4.45122774656596,0
_AUS,1998,5.2687973623333,1
_AUS,1999,4.26963097023476,0
_AUS,2000,1.93224987684901,1
_AUS,2001,3.89999999999999,0
_AUT,1960,,
_AUT,1961,5.312153160515,0
_AUT,1962,2.39754795206662,0
_AUT,1963,4.07899636830722,0
_AUT,1964,6.03757822831593,0
_AUT,1965,2.85820111635562,0
_AUT,1966,5.64285890735337,0
_AUT,1967,3.008053928921,0
_AUT,1968,4.47230464523784,0
_AUT,1969,6.2758747637378,0
_AUT,1970,7.12286627414853,0
_AUT,1971,5.11319408141874,0
_AUT,1972,6.20781483442744,0
_AUT,1973,4.88727949482958,0
_AUT,1974,3.94374839182154,0
_AUT,1975,-.362273995296619,0
_AUT,1976,4.57693943172752,0
_AUT,1977,4.89875346638792,0
_AUT,1978,-.425604195067137,0
_AUT,1979,5.26965023195107,0
_AUT,1980,2.2311713649666,0
_AUT,1981,-.05406362828154,1
_AUT,1982,2.10182245240543,0
_AUT,1983,2.89247607326777,1
_AUT,1984,.369898127052039,1
_AUT,1985,2.43150518517375,0
_AUT,1986,2.13047485894486,0
_AUT,1987,1.63304337824466,0
_AUT,1988,3.44488124713899,0
_AUT,1989,4.24780337420236,0
_AUT,1990,4.72005532429019,0
_AUT,1991,3.322022879579,0
_AUT,1992,2.30442959863466,0
_AUT,1993,.416652207594879,0
_AUT,1994,2.60540291322746,0
_AUT,1995,1.62325970721986,0
_AUT,1996,2.00147532544601,0
_AUT,1997,1.59370008484332,1
_AUT,1998,3.52106909291328,0
_AUT,1999,2.8070185500392,
_AUT,2000,2.95925810532875,
_AUT,2001,1.02492050066422,
_AZE,1960,,
_AZE,1961,,
_AZE,1962,,
_AZE,1963,,
_AZE,1964,,
_AZE,1965,,
_AZE,1966,,
_AZE,1967,,
_AZE,1968,,
_AZE,1969,,
_AZE,1970,,
_AZE,1971,,
_AZE,1972,,
_AZE,1973,,
_AZE,1974,,
_AZE,1975,,
_AZE,1976,,
_AZE,1977,,
_AZE,1978,,
_AZE,1979,,
_AZE,1980,,
_AZE,1981,,
_AZE,1982,,
_AZE,1983,,
_AZE,1984,,
_AZE,1985,,
_AZE,1986,,
_AZE,1987,,
_AZE,1988,,
_AZE,1989,,
_AZE,1990,,
_AZE,1991,,
_AZE,1992,,
_AZE,1993,-23.0999999999999,
_AZE,1994,-19.6999999999999,0
_AZE,1995,-11.8000000000003,0
_AZE,1996,1.30000000000024,0
_AZE,1997,5.7999999999997,0
_AZE,1998,10,0
_AZE,1999,7.40000000000003,0
_AZE,2000,11.1000000000002,0
_AZE,2001,9.87913714037218,0
_BDI,1960,,
_BDI,1961,-13.7461375453926,
_BDI,1962,9.063162907485159,
_BDI,1963,4.13540736330258,
_BDI,1964,6.27303459924858,
_BDI,1965,3.96722560975608,1
_BDI,1966,4.61299288235509,1
_BDI,1967,13.8215185985972,1
_BDI,1968,-.297883667826198,1
_BDI,1969,-1.45954114176948,0
_BDI,1970,21.325670724065,0
_BDI,1971,2.74682871249526,0
_BDI,1972,-6.40396492250096,0
_BDI,1973,6.88905072359599,0
_BDI,1974,-.726839563245973,1
_BDI,1975,.6979202334340751,0
_BDI,1976,7.9426609777084,0
_BDI,1977,11.4694530503122,0
_BDI,1978,-.94057599374834,0
_BDI,1979,1.66495494959118,0
_BDI,1980,.991055731176587,0
_BDI,1981,12.1632755625463,1
_BDI,1982,-1.0535998173272,1
_BDI,1983,3.71532698926909,0
_BDI,1984,.155544010453568,1
_BDI,1985,11.7831801791322,0
_BDI,1986,3.25018046141876,0
_BDI,1987,5.50309611578201,1
_BDI,1988,5.03102436337662,0
_BDI,1989,1.34950223278298,0
_BDI,1990,3.49982213886104,0
_BDI,1991,4.99683645651885,0
_BDI,1992,.70291427426983,0
_BDI,1993,-5.70883642827815,1
_BDI,1994,-3.86280587173443,0
_BDI,1995,-7.26539852931708,0
_BDI,1996,-8.3607596104751,1
_BDI,1997,.374198522769348,1
_BDI,1998,4.78491664946916,1
_BDI,1999,-.974610347336579,1
_BDI,2000,-.900000000000006,1
_BDI,2001,3.2,1
_BEL,1960,,
_BEL,1961,4.96713446052121,0
_BEL,1962,5.20053503471788,1
_BEL,1963,4.34250650313133,0
_BEL,1964,6.94281629256509,0
_BEL,1965,2.29957194361074,0
_BEL,1966,3.1558977969581,0
_BEL,1967,3.86814753203815,0
_BEL,1968,4.19412641512453,1
_BEL,1969,6.62980222846872,0
_BEL,1970,6.35267099563744,0
_BEL,1971,3.7530274051216,0
_BEL,1972,5.25568348666074,0
_BEL,1973,6.12227018157884,0
_BEL,1974,4.19963179091501,0
_BEL,1975,-1.32700111139488,0
_BEL,1976,5.65277313779857,1
_BEL,1977,.6261160971487369,0
_BEL,1978,2.84192177609432,0
_BEL,1979,2.34110102862573,0
_BEL,1980,4.4794750412682,0
_BEL,1981,-.289223015100973,1
_BEL,1982,.5984508204235079,1
_BEL,1983,.311123425613346,0
_BEL,1984,2.47342945016156,0
_BEL,1985,1.65326410435003,0
_BEL,1986,1.82507895179424,0
_BEL,1987,2.30315468798747,0
_BEL,1988,4.72984313962563,0
_BEL,1989,3.46397311180233,0
_BEL,1990,3.1377494992081,0
_BEL,1991,1.82825473500368,0
_BEL,1992,1.52010866138423,0
_BEL,1993,-.978737999847936,1
_BEL,1994,3.22917864497852,0
_BEL,1995,2.4446064730425,0
_BEL,1996,1.19560704612405,0
_BEL,1997,3.56935279838626,1
_BEL,1998,2.24662463275345,0
_BEL,1999,3.01963438967019,
_BEL,2000,4.02798577967666,
_BEL,2001,.991569080603711,
_BEN,1960,,
_BEN,1961,3.14128016859325,
_BEN,1962,-3.42640898328699,
_BEN,1963,4.73002694393199,0
_BEN,1964,6.65075496934062,0
_BEN,1965,5.29386564349248,0
_BEN,1966,3.5758627547388,0
_BEN,1967,1.07839867828238,1
_BEN,1968,3.84233561177815,0
_BEN,1969,2.8774979907388,1
_BEN,1970,2.09775758146533,0
_BEN,1971,-1.49684184490265,0
_BEN,1972,6.42636754769738,0
