ccode,year,D1y,L1D1y,L2D1y,L3D1y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y
32,1896,0.059753555804491,0.080412819981575,0.11946877092123,0.0364479869604111,0,0,0,0,0,0,0,0,,,,,-0.23923721909523,-0.187129527330399,-0.054733619093895,-0.22098471224308,-0.219247087836266,-0.277509063482285
32,1897,-0.23923721909523,0.059753555804491,0.080412819981575,0.11946877092123,0,0,0,0,0,0,0,0,,,,,0.0521076992154121,0.184503614902496,0.0182525217533112,0.0199901424348354,-0.0382718220353127,0.0581419095396996
32,1898,0.0521076992154121,-0.23923721909523,0.059753555804491,0.080412819981575,0,0,0,0,0,0,0,0,,,,,0.132395908236504,-0.0338551849126816,-0.0321175642311573,-0.0903795287013054,0.00603420287370682,0.0704264864325523
32,1899,0.132395908236504,0.0521076992154121,-0.23923721909523,0.059753555804491,0,0,0,0,0,0,0,0,,,,,-0.166251093149185,-0.164513468742371,-0.222775429487228,-0.126361697912216,-0.0619694143533707,0.0244411379098892
32,1900,-0.166251093149185,0.132395908236504,0.0521076992154121,-0.23923721909523,0,0,0,0,0,0,0,0,,,,,0.00173761986661702,-0.0565243437886238,0.0398893877863884,0.104281671345234,0.190692216157913,0.201839968562126
32,1901,0.00173761986661702,-0.166251093149185,0.132395908236504,0.0521076992154121,0,0,0,0,0,0,0,0,,,,,-0.0582619644701481,0.0381517671048641,0.102544054389,0.18895460665226,0.200102359056473,0.183189243078232
32,1902,-0.0582619644701481,0.00173761986661702,-0.166251093149185,0.132395908236504,0,0,0,0,0,0,0,0,-0.0790000036358833,,,,0.0964137315750122,0.160806015133858,0.247216567397118,0.258364319801331,0.24145120382309,0.297114819288254
32,1903,0.0964137315750122,-0.0582619644701481,0.00173761986661702,-0.166251093149185,0,0,0,0,0,0,0,0,0.0130000002682209,-0.0790000036358833,,,0.0643922835588455,0.150802835822105,0.161950588226318,0.145037472248077,0.200701087713242,0.212120458483696
32,1904,0.0643922835588455,0.0964137315750122,-0.0582619644701481,0.00173761986661702,0,0,0,0,0,0,0,0,0.0329999998211861,0.0130000002682209,-0.0790000036358833,,0.0864105522632599,0.0975583046674728,0.0806451886892319,0.136308789253235,0.147728160023689,0.180439502000809
32,1905,0.0864105522632599,0.0643922835588455,0.0964137315750122,-0.0582619644701481,0,0,0,0,0,0,0,0,0.0260000005364418,0.0329999998211861,0.0130000002682209,-0.0790000036358833,0.0111477505415678,-0.00576536543667316,0.0498982444405556,0.0613176189363003,0.0940289497375488,0.073943704366684
32,1906,0.0111477505415678,0.0864105522632599,0.0643922835588455,0.0964137315750122,0,0,0,0,0,0,0,0,0.00300000002607703,0.0260000005364418,0.0329999998211861,0.0130000002682209,-0.016913115978241,0.0387504920363426,0.0501698665320873,0.0828811973333359,0.062795951962471,0.104109019041061
